Year,State/Country, UnemploymentRate,AbsPovRate
2019,Johor,2.7,3.9
2019,Kedah,2.8,8.8
2019,Kelantan,4,12.4
2019,Melaka,1.1,3.9
2019,Negeri Sembilan,3.1,4.3
2019,Pahang,2.9,4.3
2019,Pulau Pinang,2,1.9
2019,Perak,3.4,7.3
2019,Perlis,3.3,3.9
2019,Selangor,2.9,1.2
2019,Terengganu,3.5,6.1
2019,Sabah,5.8,19.5
2019,Sarawak,3.1,9
2019,W.P. Kuala Lumpur,2.6,0.2
2019,W.P. Labuan,6.9,3.1
2019,W.P. Putrajaya,1.2,0.4
2016,Johor,3.6,6.2
2016,Kedah,2.9,14.3
2016,Kelantan,3.8,19.5
2016,Melaka,0.9,2.6
2016,Negeri Sembilan,2.7,6.4
2016,Pahang,2.6,9.2
2016,Pulau Pinang,2.1,2.2
2016,Perak,3.4,8.2
2016,Perlis,2.9,7.2
2016,Selangor,3.2,0.8
2016,Terengganu,4.2,6.8
2016,Sabah,5.4,23.9
2016,Sarawak,3.3,11.9
2016,W.P. Kuala Lumpur,3.3,0.8
2016,W.P. Labuan,7.8,6.8
2016,W.P. Putrajaya,1.7,0
2014,Johor,2.6,0
2014,Kedah,2.7,0.3
2014,Kelantan,3.3,0.9
2014,Melaka,0.9,0.1
2014,Negeri Sembilan,3,0.4
2014,Pahang,2.7,0.7
2014,Pulau Pinang,1.6,0.3
2014,Perak,3.4,0.7
2014,Perlis,3.3,0.2
2014,Selangor,2,0.2
2014,Terengganu,4.1,0.6
2014,Sabah,4.9,4
2014,Sarawak,3.1,0.9
2014,W.P. Kuala Lumpur,2.9,0.1
2014,W.P. Labuan,5.1,1.1
2014,W.P. Putrajaya,1.2,0
2012,Johor,3.1,0.9
2012,Kedah,2.9,1.7
2012,Kelantan,2.3,2.7
2012,Melaka,0.5,0.1
2012,Negeri Sembilan,3,0.5
2012,Pahang,2.7,1.3
2012,Pulau Pinang,2,0.6
2012,Perak,3,1.5
