Customer,Risk,Amount
SME,Medium,491436
Individual,Low,144070
Instituition,Medium,333926
Individual,High,539069
Instituition,High,541110
Individual,Medium,377936
Individual,Low,106545
Instituition,Medium,27890
Corporation,Low,517729
SME,Low,416725
Corporation,Medium,356306
Individual,Medium,391529
Individual,Low,288753
SME,Medium,576496
SME,High,555489
SME,Low,100151
Instituition,High,47679
Individual,Low,242101
Corporation,Medium,598055
Instituition,Medium,400544
SME,Low,314703
Corporation,Medium,550575
Instituition,Low,470903
Individual,High,224750
Instituition,High,99026
Instituition,Low,205980
SME,Medium,39043
SME,Medium,459957
SME,Medium,389296
Corporation,Medium,48590
Individual,Low,561079
SME,Medium,144632
Individual,Medium,434328
SME,Low,242900
Individual,Medium,410746
Individual,Low,385769
SME,Low,230819
Instituition,Low,227449
Instituition,Medium,273583
Individual,Medium,144632
Instituition,Medium,135423
Individual,Medium,181627
Instituition,Low,295819
SME,Medium,116946
SME,High,268178
SME,Low,233667
SME,High,119686
SME,High,523628
Corporation,High,123457
Individual,High,169998
Individual,Medium,185439
Instituition,Low,484086
Instituition,Low,299339
Individual,Low,447531
Individual,High,398896
Individual,Medium,391883
SME,Medium,301983
Individual,Medium,96666
SME,Medium,84206
Corporation,Medium,491740
SME,Low,29064
Individual,Medium,542692
Corporation,High,58522
Instituition,Low,502853
Corporation,Low,328633
Individual,Low,302194
Corporation,Low,221849
Instituition,Medium,333051
SME,High,170349
Corporation,High,26550
SME,High,253119
Individual,High,367650
Instituition,Medium,426843
SME,Low,466709
Corporation,Low,106993
Instituition,Low,115770
Instituition,High,378350
SME,Medium,398170
SME,Medium,92137
Corporation,Low,273303
Corporation,Medium,524417
SME,Low,533200
SME,Low,277041
Corporation,Low,188166
Instituition,Medium,527461
Individual,Medium,566410
SME,Low,554556
Instituition,High,534018
Instituition,Medium,186613
Individual,Low,541119
SME,Medium,27086
SME,Low,172115
SME,Low,507749
SME,High,247112
SME,High,260090
SME,Medium,27744
Corporation,Low,347131
Instituition,High,105259
Instituition,Medium,265203
Individual,Low,114098
Instituition,Medium,79805
Instituition,Medium,368938
Instituition,Low,501343
Instituition,Medium,115294
Corporation,High,321576
Corporation,Medium,495509
SME,Medium,329200
Corporation,Medium,70094
Instituition,Medium,113984
Instituition,High,538214
SME,Low,246895
Individual,High,554244
Individual,High,139956
Corporation,Medium,416256
Corporation,High,454989
Corporation,Low,114507
Corporation,High,299987
Individual,High,506245
SME,Low,541568
Corporation,Low,30586
Instituition,Low,347213
Corporation,High,269419
Individual,Low,37474
Instituition,Low,561988
Instituition,High,136647
Individual,High,220592
Individual,Medium,473527
Corporation,Low,212113
Individual,Medium,89837
Instituition,High,145682
Instituition,High,233195
Instituition,Medium,240152
SME,Low,27875
Instituition,Medium,265084
Corporation,Low,504646
Instituition,High,528671
Corporation,High,596358
SME,Low,598887
Corporation,Low,474114
Instituition,Low,567870
Instituition,Medium,439517
SME,High,258115
SME,High,34684
Corporation,Low,167334
Individual,Low,445483
Corporation,Low,232449
SME,Medium,252243
Corporation,Medium,307943
Instituition,High,214267
SME,Medium,326521
SME,Medium,537174
Instituition,Low,362219
Instituition,High,62579
Corporation,High,467761
Individual,Low,583642
Instituition,Medium,384089
Individual,Low,299491
Instituition,Medium,303072
Corporation,Medium,84891
Instituition,Low,154327
Corporation,Medium,165059
SME,Low,579998
Individual,High,363957
Individual,High,211531
Individual,Medium,312609
SME,Medium,241940
Corporation,High,91770
Individual,Low,168135
SME,Medium,408043
Individual,Medium,93827
Individual,Medium,447471
Corporation,High,485630
Instituition,Low,85759
SME,High,333130
Corporation,Low,499817
SME,Low,58350
SME,Low,87314
Instituition,High,454496
Individual,Medium,112997
Corporation,Low,369136
SME,Low,427736
Individual,Low,70492
Instituition,Low,448862
Instituition,High,52440
SME,Low,375263
SME,Medium,581042
SME,Medium,55895
Instituition,High,530918
SME,Medium,74606
Individual,High,167289
Individual,Medium,188017
Corporation,Low,276726
SME,Low,550257
Corporation,Medium,342524
Instituition,Low,291925
SME,High,141129
SME,Medium,39469
Individual,High,325651
Individual,High,480094
Instituition,Medium,538554
SME,Medium,417670
Instituition,Medium,402774
Instituition,Low,215144
SME,High,242868
SME,Low,513913
SME,High,574489
SME,Medium,171211
Individual,Medium,208418
SME,High,199889
Corporation,Low,460703
Individual,Medium,167976
Individual,Medium,246164
Corporation,Medium,168500
Individual,Low,156643
SME,High,137966
Instituition,Low,586717
Corporation,Low,298455
SME,Low,480141
Corporation,Medium,239806
SME,High,56182
Corporation,Low,264886
Individual,Low,532684
Instituition,Low,163261
Individual,High,284430
Corporation,Medium,80301
SME,Low,578478
Instituition,Low,580887
Corporation,Medium,556651
Corporation,Low,576219
Corporation,High,569230
SME,Low,299765
Instituition,Low,512401
SME,Low,121858
Instituition,Medium,582802
Individual,Medium,486296
Individual,High,27147
SME,Low,326387
SME,Medium,377641
SME,High,524900
Instituition,Low,98010
Individual,Medium,367015
SME,Low,133094
SME,Medium,594765
SME,High,157278
Individual,Medium,330639
Instituition,High,461243
SME,Low,208115
Instituition,High,97458
Corporation,High,27239
Individual,High,489685
Instituition,High,136415
Individual,High,476074
Corporation,Medium,570243
SME,Low,404699
Corporation,Low,479059
Instituition,High,273530
Individual,Medium,375922
Individual,Medium,321096
Corporation,High,597523
SME,High,31246
SME,Low,489246
Individual,High,412805
Instituition,Medium,55492
Instituition,Medium,558581
Individual,Low,59459
Corporation,Low,577807
Individual,Low,415616
Corporation,Medium,543873
Instituition,Low,538716
SME,High,590087
Individual,High,528620
Corporation,High,95668
SME,High,93325
Corporation,High,200415
Corporation,Low,508029
SME,High,110495
Individual,Low,488853
SME,High,408535
Individual,High,42554
Individual,Low,409349
Corporation,High,535573
SME,Low,565460
Corporation,Low,142198
Instituition,High,427337
Instituition,Low,266469
SME,Medium,596665
Instituition,Medium,67557
Instituition,High,464209
Corporation,Medium,456697
SME,Low,171660
Individual,Medium,539425
Individual,High,170080
Corporation,Medium,141156
SME,Medium,231799
SME,Medium,488914
Corporation,Low,105708
Individual,High,312935
SME,Medium,109083
Instituition,High,314296
Instituition,Low,257315
SME,Low,211053
Individual,Low,47299
SME,High,239638
Corporation,High,65510
SME,Low,596192
SME,Medium,420395
SME,High,70001
Corporation,Low,305247
Corporation,High,558279
Individual,Medium,572349
Instituition,Low,341644
Individual,Low,109949
Individual,Low,262290
Instituition,Low,169983
Individual,Medium,182376
Individual,Low,424773
Individual,High,52195
Corporation,Low,585622
SME,Medium,331127
Corporation,Low,180690
Instituition,Medium,136157
Individual,High,223252
SME,Low,379815
Corporation,Low,542897
SME,Medium,239615
Corporation,Low,381174
Instituition,High,276516
Instituition,Medium,170105
Instituition,High,539353
Corporation,High,396007
Instituition,Medium,131936
Corporation,Medium,316940
Corporation,Medium,391716
Instituition,Low,34017
