Years,Labour Force Participation Rate,Unemployment rate
1982,64.8,3.4
1983,65.6,3.8
1984,65.3,5
1985,65.7,5.6
1986,66.1,7.4
1987,66.5,7.3
1988,66.8,7.2
1989,66.2,5.7
1990,66.5,4.5
1992,65.9,3.7
1993,66.5,4.1
1995,64.7,3.1
1996,66.3,2.5
1997,65.6,2.4
1998,64.3,3.2
1999,64.2,3.4
2000,65.4,3
2001,64.9,3.5
2002,64.4,3.5
2003,65.2,3.6
2004,64.4,3.5
2005,63.3,3.5
2006,63.1,3.3
2007,63.2,3.2
2008,62.6,3.3
2009,62.9,3.7
2010,63.7,3.3
2011,64.5,3.1
2012,65.6,3
2013,67.3,3.1
2014,67.6,2.9
2015,67.9,3.1
2016,67.7,3.4
2017,68,3.4
2018,68.3,3.3
2019,68.7,3.3
2020,68.4,4.5
2021,68.6,4.6
