States,Years,Overall,Primary,Secondary,Tertiary,Never Married,Married,Widowed,Divorced,15-19,20-24,25-29,30-34,Young Age,35-39,40-44,45-49,50-54,Middle Age,55-59,60-64,Old Age
Johor,2016,81.4,89.3,82.7,72.7,68.1,93.1,66.1,88.3,19.6,79.7,96.7,97.7,73.4,98.8,97.8,97.3,92,96.5,80.9,52.7,66.8
Johor,2017,81.7,89.2,82.3,75.6,68.7,92.2,66.5,91.7,21.5,79.6,97.7,98.9,74.4,99.1,98.8,97.1,90.3,96.3,77,49.1,63.1
Johor,2018,81.8,89.2,84.1,73.5,68,92.8,77.9,100,23,77.4,95.9,97.9,73.6,98.3,98.2,97.2,92.2,96.5,82.5,55.1,68.8
Johor,2019,82.6,89.6,84.1,75.4,69.3,93.3,76,94.1,24.2,81.2,96.2,98.5,75,98.3,97.2,97.1,92.6,96.3,83.6,55,69.3
Johor,2020,87.8,94,86.4,93,74.9,96.6,77.7,94.8,31.8,90.1,99.5,99.5,80.2,99.3,99.5,99.1,98,99,91.7,73.5,82.6
Johor,2021,87.9,86.3,87,91,81.7,93.1,72.4,96.2,41.3,98.4,99.4,99.3,84.6,99.4,98.7,98.4,96.4,98.2,83.4,47.8,65.6
Kedah,2016,76.5,90.1,78.2,64.5,59.5,91.1,67.6,89.2,19.2,75.5,94.1,96,71.2,97,97.3,95,92.6,95.5,77,53.3,65.2
Kedah,2017,76.8,89.9,78.9,65.5,60.9,91.6,71.8,92.7,18.4,72.5,95.5,97.1,70.9,97,96.5,95.2,92.2,95.2,80.2,58.9,69.6
Kedah,2018,76.4,85.3,78.5,67.9,60.7,90.2,75.3,89.1,21.9,72.8,93.6,96.4,71.2,96,96.3,94.3,90.6,94.3,78.1,47.7,62.9
Kedah,2019,77.3,84.7,80.2,67.5,64.2,89.6,72.5,88.4,22.2,75.8,95,97.6,72.7,97.6,96.5,93.6,88,93.9,77.3,46.2,61.8
Kedah,2020,78.9,89.5,76,84,65.4,92,82.3,93.6,22.5,71.4,96.7,97.4,72,98.3,96.9,95.7,93.2,96,83.9,57.3,70.6
Kedah,2021,77.9,90.7,79.6,70.1,63.5,90.8,79.8,94.1,16.1,72.8,94.8,96.2,70,97.8,98.3,95.8,93,96.2,79.8,57.8,68.8
Kelantan,2016,72.2,87.6,75.7,58.2,52.2,92.4,79.5,88.1,17,62.6,94.5,95.4,67.4,95.2,94.8,95.6,92.5,94.5,84.6,53.6,69.1
Kelantan,2017,73.4,87.6,75.6,62.5,55.7,92.1,73.6,84,17.6,66.9,93.9,95,68.4,95.4,94.7,95.4,94.6,95,83.4,51.6,67.5
Kelantan,2018,74.2,88.8,77.5,63.1,57.3,91.9,73,89.6,18.1,69.4,93.1,97,69.4,95.3,95.5,94.5,91,94.1,83.9,54,69
Kelantan,2019,73.7,84.6,76.3,64.5,59.8,89.1,69.4,86.5,18.6,70.9,93.8,96.9,70.1,96.7,92.5,89.3,91.4,92.5,78,42.2,60.1
Kelantan,2020,72.7,84,73.9,67.4,56.1,90.8,74.1,88.1,12.5,59.8,94,96.2,65.6,97.7,94.1,92,92.1,94,84,48.6,66.3
Kelantan,2021,71.4,86.4,73.1,64.6,53.9,90.5,77,90.4,11.5,58.5,87.5,94.3,63,96.4,96.8,93.8,90.8,94.5,83.1,47.8,65.5
Melaka,2016,76.6,82.6,81.5,65.1,60.6,90.8,64.5,88.8,23.9,65.7,92.1,98.8,70.1,98.4,96.9,97.2,91,95.9,74.4,44.9,59.7
Melaka,2017,76.7,80.2,80.4,69.4,62.7,89.4,65.4,87,21.1,67.7,94.9,97.5,70.3,98.3,95.8,94.6,90.2,94.7,74.9,40.7,57.8
Melaka,2018,76.7,79.8,80,70.5,62,89.6,66.4,80.4,22.1,68.9,93.3,98.6,70.7,98.4,95,92.6,90.7,94.2,65.3,45.3,55.3
Melaka,2019,78.3,85.4,81.5,71.6,64.3,90.1,88.5,86.2,24.6,68.6,94.2,97.9,71.3,97.4,96.9,94,91.8,95,76.8,43.1,60
Melaka,2020,77.1,83.3,76,78.8,62.7,89.4,70.4,85.1,15.6,70.1,94.8,97,69.4,97.9,95.5,94.8,86.5,93.7,78.3,40.2,59.3
Melaka,2021,78.6,81.5,79.4,76.9,67.2,88.9,62,79.8,23.1,70,96.6,96.1,71.5,98.6,97.4,96.1,92.1,96.1,78.8,33,55.9
Negeri Sembilan,2016,77.2,88.8,77.7,69.7,62.2,90,64.4,86.3,14.1,71.5,96.4,99.1,70.3,98.6,96.1,94.2,90.6,94.9,72.1,46.7,59.4
Negeri Sembilan,2017,77.7,86.2,78.2,74,64.6,89.8,71.3,88.4,20.6,76,96.2,97,72.5,98,97.1,96.1,89.8,95.3,74.2,44.2,59.2
Negeri Sembilan,2018,77.4,89.2,79.2,69.6,63.6,89.8,64.9,90.7,25.9,69,95.7,98.5,72.3,97.4,97,95.3,91.9,95.4,73.9,42,58
Negeri Sembilan,2019,77.1,83,78.2,74.7,63.3,88.9,68,77.4,20.3,75.1,96.6,97.3,72.3,96.3,96.5,95.2,88,94,70.4,36.9,53.7
Negeri Sembilan,2020,74.3,78.7,74.2,75.2,62.2,85.9,58.3,85.5,17.8,67.8,93.3,97.7,69.2,97.1,96.6,92.2,86.3,93.1,62,34.7,48.4
Negeri Sembilan,2021,76.8,80,76.3,77.4,67.2,87.3,56.3,76.4,13.4,79.3,96.2,98.2,71.8,98.3,97.5,97.1,85.7,94.7,64.1,36.2,50.2
Pahang,2016,78.8,90.5,81.3,65.9,61.8,94.1,80.8,87.3,19.2,69.6,97.3,97.4,70.9,98.5,96.3,96.9,94.8,96.6,81.3,62.4,71.9
Pahang,2017,79.5,91.1,81.6,65.4,63.7,93.9,78.5,92.2,19.1,71.1,97.6,97.3,71.3,98,96.4,96.7,94.6,96.4,81.7,62.5,72.1
Pahang,2018,81.3,91.6,83.6,69.6,67.3,94,76.4,84.3,23.3,77.1,97.2,98.2,74,98.3,96.7,95.6,93.8,96.1,82.3,62.8,72.6
Pahang,2019,81.4,91,82.9,73.3,69,92.8,73.6,91.5,26.1,79.9,96.3,98.1,75.1,97.8,97.4,95.5,94.1,96.2,80.5,50,65.3
Pahang,2020,80.4,90.9,80.2,76.2,65,93.9,83.3,95.4,18.5,74,95.5,97.4,71.4,97.8,97,98.1,93.6,96.6,85.5,60.3,72.9
Pahang,2021,78.8,89.8,79,73.9,63.8,91.9,77,82.5,13.5,74.1,95.4,95.7,69.7,98,97.8,97.3,95.3,97.1,80.4,50.8,65.6
Pulau Pinang,2016,79.9,82.7,81.5,77.4,66.6,91,76.7,82.1,13.8,74.7,96.1,97.7,70.6,98.7,96.4,97.2,91.6,96,74.1,44.4,59.3
Pulau Pinang,2017,79.2,84.1,80.3,76.3,66.4,89.8,68.5,90.2,17.7,71.1,95.5,98.6,70.7,97.9,94.5,93.4,87.5,93.3,74.3,45.7,60
Pulau Pinang,2018,79.5,82.7,81.5,74.8,68.5,89.1,64.8,82.7,17.4,71.5,96.9,98.7,71.1,97,95.4,94.8,89.2,94.1,72.7,41.3,57
Pulau Pinang,2019,80.5,81.6,82.5,77,69.9,90,58.1,81.9,21.6,71.7,95.8,98.3,71.9,98.2,97.3,96.1,93.6,96.3,72,39.4,55.7
Pulau Pinang,2020,80.5,78.4,80.5,81,69.1,90.4,61.2,89.3,15,70.6,95.8,96.7,69.5,98.2,99.2,98.2,94.1,97.4,79.5,39.2,59.4
Pulau Pinang,2021,82.7,93.3,81.8,82.7,73.7,90.7,70.6,90.9,14.1,82,97.8,97.8,72.9,99.5,98.9,99.4,94.8,98.2,73,49.7,61.4
Perak,2016,76.1,85.7,79,63.1,62.6,88.9,55.5,87.9,21.1,68.9,94.9,97.7,70.7,97.1,95.8,92.9,87.8,93.4,76.1,50.7,63.4
Perak,2017,75.9,81.6,78.3,66.4,63.4,87.9,59.9,83.8,19,74.6,95.6,95.7,71.2,96.8,96.3,93.9,89.4,94.1,69.4,44.2,56.8
Perak,2018,76,81.5,79.4,64.9,63.4,88.4,65.9,80.7,18.3,71.8,94.6,98,70.7,97,95.5,94.8,90.7,94.5,71.6,45.2,58.4
Perak,2019,77.5,83,79.7,69.8,67.6,87.3,66.7,88.2,22.8,74.7,97.5,97.5,73.1,97.8,96.5,94.4,89.2,94.5,71.1,46.4,58.8
Perak,2020,77.1,86.4,78.8,69.7,65.1,89.8,73.5,80.5,17.7,67,95.3,96.8,69.2,97.8,96.3,95.5,91.7,95.3,82.1,50,66.1
Perak,2021,78,86,78.3,75.6,68.4,88.1,69.9,86.8,15.7,75.6,97.9,97.3,71.6,96,97.6,94,91.8,94.9,75.2,48.9,62.1
Perlis,2016,76.8,89,81.8,60.7,59.1,91.2,80.8,95.4,21.1,68.8,92.7,96.6,69.8,94.7,96.6,93.7,95.1,95,79,59.1,69.1
